image_id,png_name,bboxes

1000094,58c58133bc260137e096a580.png,"[[1, 0.2998046875, 0.36875, 0.0166015625, 0.0734375]]"

1000095,58c58133bc260137e096a585.png,"[[1, 0.2841796875, 0.3703125, 0.0166015625, 0.0734375]]"

1000096,58c58133bc260137e096a58a.png,"[[1, 0.2626953125, 0.3765625, 0.03125, 0.084375]]"

1000097,58c58133bc260137e096a58f.png,"[[1, 0.2333984375, 0.3515625, 0.0234375, 0.0921875]]"

1000098,58c58133bc260137e096a593.png,"[[1, 0.2060546875, 0.3515625, 0.0244140625, 0.0734375]]"

1000099,58c58133bc260137e096a598.png,"[[1, 0.162109375, 0.34375, 0.0244140625, 0.06875]]"

1000100,58c58133bc260137e096a59b.png,"[[1, 0.1279296875, 0.3421875, 0.025390625, 0.125]]"

1000111,58c58133bc260137e096a5b7.png,"[[1, 0.880859375, 0.375, 0.0224609375, 0.0796875]]"

1000112,58c58133bc260137e096a5b8.png,"[[1, 0.8876953125, 0.375, 0.0224609375, 0.084375]]"

1000113,58c58133bc260137e096a5b9.png,"[[1, 0.8955078125, 0.371875, 0.021484375, 0.0859375]]"

1000114,58c58133bc260137e096a5ba.png,"[[1, 0.9033203125, 0.371875, 0.0234375, 0.0859375]]"

1000115,58c58133bc260137e096a5bb.png,"[[1, 0.9111328125, 0.36875, 0.0234375, 0.090625]]"

1000116,58c58133bc260137e096a5bc.png,"[[1, 0.9208984375, 0.36875, 0.0234375, 0.090625], [1, 0.3505859375, 0.375, 0.0205078125, 0.065625]]"

1000117,58c58133bc260137e096a5bd.png,"[[1, 0.927734375, 0.36875, 0.0244140625, 0.0921875], [1, 0.34765625, 0.375, 0.0205078125, 0.065625]]"

1000118,58c58133bc260137e096a5be.png,"[[1, 0.9365234375, 0.36875, 0.0244140625, 0.0953125], [1, 0.3447265625, 0.375, 0.021484375, 0.065625]]"

1000119,58c58133bc260137e096a5bf.png,"[[1, 0.9453125, 0.3703125, 0.0234375, 0.0953125], [1, 0.34375, 0.378125, 0.0224609375, 0.0671875]]"
